X1,X2,Y
31,59,0
14,5,0
96,63,1
46,96,1
13,58,0
81,86,1
78,32,1
12,34,0
77,7,0
21,35,0
66,40,1
22,28,0
43,71,1
53,15,0
25,97,1
42,0,0
4,92,0
36,85,1
6,83,0
6,55,0
28,85,1
77,11,0
25,28,0
100,41,1
76,98,1
66,33,0
75,38,1
19,33,0
65,14,0
92,48,1
3,14,0
49,30,0
5,61,0
71,87,1
35,28,0
62,86,1
72,87,1
7,5,0
65,100,1
69,100,1
65,80,1
77,14,0
55,30,0
8,43,0
25,63,0
5,92,0
21,68,0
56,40,0
47,78,1
51,95,1
33,95,1
83,83,1
100,50,1
59,37,0
67,73,1
57,75,1
76,37,1
94,63,1
68,81,1
35,62,0
72,77,1
79,91,1
77,72,1
100,46,1
67,1,0
96,45,1
0,6,0
61,97,1
49,100,1
5,84,0
20,34,0
35,37,0
76,24,1
51,22,0
16,60,0
23,23,0
24,70,0
97,50,1
29,6,0
24,29,0
92,8,1
36,70,1
67,4,0
86,39,1
82,88,1
81,26,1
68,61,1
10,52,0
60,62,1
93,42,1
50,78,1
53,33,0
81,1,0
88,54,1
78,69,1
73,95,1
31,73,1
78,18,0
76,78,1
86,24,1
18,53,0
