X1,X2,Y
73,64,0
0,90,1
63,87,0
60,27,0
66,72,0
76,77,0
89,100,0
24,34,1
4,15,1
45,37,1
36,54,1
3,100,1
64,5,0
46,73,1
57,33,0
11,46,1
92,89,0
19,60,1
87,17,0
72,80,0
2,5,1
95,89,0
83,49,0
34,86,1
31,69,1
92,78,0
13,30,1
20,8,1
26,99,1
9,41,1
38,83,1
44,69,1
2,42,1
35,77,1
38,98,1
22,53,1
4,0,1
27,7,1
8,40,1
52,47,0
59,32,0
50,85,0
78,6,0
71,96,0
67,35,0
86,79,0
81,75,0
4,93,1
90,48,0
44,14,1
56,35,0
11,36,1
68,64,0
10,55,1
21,90,1
93,13,0
35,62,1
93,90,0
26,47,1
85,97,0
71,78,0
33,98,1
53,62,0
60,2,0
52,84,0
10,57,1
26,61,1
82,53,0
77,25,0
16,61,1
35,18,1
25,73,1
52,0,0
18,28,1
81,36,0
24,56,1
18,41,1
46,72,1
10,2,1
63,22,0
74,93,0
76,39,0
20,39,1
21,100,1
93,23,0
18,26,1
62,9,0
83,41,0
51,45,0
5,92,1
91,73,0
82,54,0
18,73,1
15,21,1
1,80,1
14,45,1
81,13,0
60,24,0
62,70,0
64,79,0
26,87,1
